country,subdivision,type,60kgs_bag,year,nonbearing_trees,bearing_trees,nonbear_hectares,bearing_hectares,bearing_trees_per_hectare,nonbearing_trees_per_hectare
Brazil,Minas Gerais,Arabica,16.2,2002,1500.0,4465.0,495.0,2120.0,2106.0,3030.0
Brazil,Minas Gerais,Arabica,26.7,2003,1125.0,5265.0,315.0,2360.0,2231.0,3577.0
Brazil,Minas Gerais,Arabica,14.4,2004,631.0,5050.0,205.0,2174.0,2323.0,3075.0
Brazil,Minas Gerais,Arabica,21.4,2005,466.0,5255.0,148.0,2305.0,2280.0,3149.0
Brazil,Minas Gerais,Arabica,16.3,2006,581.0,5330.0,175.0,2298.0,2319.0,3320.0
Brazil,Minas Gerais,Arabica,23.7,2007,563.0,5730.0,186.0,2245.0,2552.0,3030.0
Brazil,Minas Gerais,Arabica,16.85,2008,679.0,5720.0,196.0,2235.0,2559.0,3468.0
Brazil,Minas Gerais,Arabica,25.55,2009,663.0,5770.0,188.0,2223.0,2596.0,3527.0
Brazil,Minas Gerais,Arabica,22.1,2010,873.0,5725.0,244.0,2151.0,2662.0,3578.0
Brazil,Minas Gerais,Arabica,28.5,2011,815.0,5820.0,234.0,2175.0,2676.0,3483.0
Brazil,Minas Gerais,Arabica,23.5,2012,835.0,5760.0,260.0,2150.0,2679.0,3212.0
Brazil,Minas Gerais,Arabica,28.5,2013,1000.0,5860.0,282.0,2105.0,2784.0,3546.0
Brazil,Minas Gerais,Arabica,29.4,2014,1055.0,5810.0,307.0,2135.0,2721.0,3436.0
Brazil,Minas Gerais,Arabica,26.0,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0
Brazil,Minas Gerais,Arabica,25.3,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0
Brazil,Minas Gerais,Arabica,32.5,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0
Brazil,Minas Gerais,Arabica,34.2,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0
Brazil,Minas Gerais,Arabica,29.1,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0
Brazil,Minas Gerais,Arabica,34.8,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0
Brazil,Minas Gerais,Arabica,24.5,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0
Brazil,Minas Gerais,Arabica,28.5,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0
